time,/ap
0.1225,0.000501122
0.128333,0.000664195
0.134166,0.000994322
0.14,0.00132445
0.145833,0.000933321
0.151666,0.000542192
0.157499,0.000503212
0.163333,0.000464232
0.169166,0.00044332
0.174999,0.000422407
0.180833,0.000397387
0.186666,0.000372366
0.192499,0.000348065
0.198333,0.000323764
0.204166,0.000303404
0.209999,0.000283044
0.215833,0.000263556
0.221666,0.000244069
0.227499,0.00022603
0.233333,0.000207991
0.239166,0.000191601
0.244999,0.000175212
0.250832,0.000160602
0.256666,0.000145991
0.262499,0.000133612
0.268332,0.000121234
0.274166,0.000110953
0.279999,0.000100673
0.285832,9.22358e-05
0.291666,8.37991e-05
0.297499,7.68376e-05
0.303332,6.98761e-05
0.309166,6.41448e-05
0.314999,5.84134e-05
0.320832,5.36647e-05
0.326666,4.89159e-05
0.332499,4.4916e-05
0.338332,4.0916e-05
0.344165,3.76221e-05
0.349999,3.43281e-05
0.355832,3.14713e-05
0.361665,2.86144e-05
0.367499,2.61339e-05
0.373332,2.36533e-05
0.379165,2.15635e-05
0.384999,1.94736e-05
0.390832,1.77898e-05
0.396665,1.6106e-05
0.402499,1.48065e-05
0.408332,1.3507e-05
0.414165,1.24619e-05
0.419999,1.14168e-05
0.425832,1.05785e-05
0.431665,9.74023e-06
0.437498,9.03835e-06
0.443332,8.33647e-06
0.449165,7.74803e-06
0.454998,7.1596e-06
0.460832,6.66518e-06
0.466665,6.17075e-06
0.472498,5.76382e-06
0.478332,5.35689e-06
0.484165,5.00311e-06
0.489998,4.64933e-06
0.495832,4.33782e-06
0.501665,4.02631e-06
0.507498,3.75775e-06
0.513332,3.4892e-06
0.519165,3.26094e-06
0.524998,3.03269e-06
0.530832,2.8393e-06
0.536665,2.6459e-06
0.542498,2.48272e-06
0.548331,2.31954e-06
0.554165,2.1836e-06
0.559998,2.04767e-06
0.565831,1.9329e-06
0.571665,1.81814e-06
0.577498,1.72274e-06
0.583331,1.62734e-06
0.589165,1.5512e-06
0.594998,1.47507e-06
0.600831,1.41736e-06
0.606665,1.35965e-06
0.612498,1.31841e-06
0.618331,1.27717e-06
0.624165,1.25247e-06
0.629998,1.22777e-06
0.635831,1.23478e-06
0.641664,1.24178e-06
0.647498,1.2917e-06
0.653331,1.34162e-06
0.659164,1.45421e-06
0.664998,1.56679e-06
0.670831,1.82911e-06
0.676664,2.09143e-06
0.682498,2.77238e-06
0.688331,3.45333e-06
0.694164,1.58876e-05
0.699998,2.83218e-05
time,/hp
0,0.154913
0.00583331,0.103496
0.0116666,0.0520792
0.0174999,0.0745802
0.0233333,0.0970811
0.0291666,0.0838789
0.0349999,0.0706766
0.0408332,0.0797035
0.0466665,0.0887303
0.0524998,0.081043
0.0583331,0.0733556
0.0641664,0.0630458
0.0699998,0.052736
0.0758331,0.0800529
0.0816664,0.10737
0.0874997,0.0913385
0.093333,0.0753071
0.0991663,0.0626985
0.105,0.0500899
0.110833,0.0587933
0.116666,0.0674966
0.1225,0.0728228
0.128333,0.0781489
0.134166,0.0793832
0.14,0.0806174
0.145833,0.0959277
0.151666,0.111238
0.157499,0.112001
0.163333,0.112765
0.169166,0.12222
0.174999,0.131675
0.180833,0.133617
0.186666,0.135558
0.192499,0.151031
0.198333,0.166504
0.204166,0.182704
0.209999,0.198905
0.215833,0.216823
0.221666,0.234742
0.227499,0.264619
0.233333,0.294496
0.239166,0.330414
0.244999,0.366332
0.250832,0.420455
0.256666,0.474579
0.262499,0.508475
0.268332,0.542371
0.274166,0.514286
0.279999,0.4862
0.285832,0.467497
0.291666,0.448793
0.297499,0.41152
0.303332,0.374246
0.309166,0.472757
0.314999,0.571268
0.320832,0.521705
0.326666,0.472142
0.332499,0.474305
0.338332,0.476468
0.344165,0.44767
0.349999,0.418871
0.355832,0.37536
0.361665,0.331848
0.367499,0.247499
0.373332,0.16315
0.379165,0.13846
0.384999,0.11377
0.390832,0.113279
0.396665,0.112787
0.402499,0.0731928
0.408332,0.0335984
0.414165,0.183774
0.419999,0.33395
0.425832,0.39708
0.431665,0.460211
0.437498,0.496434
0.443332,0.532658
0.449165,0.411493
0.454998,0.290328
0.460832,0.146662
0.466665,0.00299661
0.472498,0.256534
0.478332,0.510071
0.484165,0.755005
0.489998,0.999938
0.495832,0.999955
0.501665,0.999971
0.507498,0.999977
0.513332,0.999982
0.519165,0.999984
0.524998,0.999987
0.530832,0.999988
0.536665,0.99999
0.542498,0.999991
0.548331,0.999992
0.554165,0.999992
0.559998,0.999993
0.565831,0.999993
0.571665,0.999994
0.577498,0.999994
0.583331,0.999994
0.589165,0.999994
0.594998,0.999994
0.600831,0.999994
0.606665,0.999993
0.612498,0.999993
0.618331,0.999993
0.624165,0.999994
0.629998,0.999995
0.635831,0.999996
0.641664,0.999996
0.647498,0.999981
0.653331,0.999966
0.659164,0.999963
0.664998,0.999959
0.670831,0.99994
0.676664,0.99992
0.682498,0.999842
0.688331,0.999763
0.694164,0.996291
0.699998,0.992818
time,/am
0,-0.701718
0.00583331,-0.739382
0.0116666,-0.777045
0.0174999,-0.742191
0.0233333,-0.707338
0.0291666,-0.754066
0.0349999,-0.800793
0.0408332,-0.721682
0.0466665,-0.64257
0.0524998,-0.671027
0.0583331,-0.699483
0.0641664,-0.653575
0.0699998,-0.607667
0.0758331,-0.628448
0.0816664,-0.649229
0.0874997,-0.603013
0.093333,-0.556797
0.0991663,-0.531219
0.105,-0.50564
0.110833,-0.515713
0.116666,-0.525785
0.1225,-0.540183
0.128333,-0.554581
0.134166,-0.485826
0.14,-0.417072
0.145833,-0.404545
0.151666,-0.392019
0.157499,-0.366057
0.163333,-0.340096
0.169166,-0.31129
0.174999,-0.282485
0.180833,-0.24901
0.186666,-0.215535
0.192499,-0.175324
0.198333,-0.135112
0.204166,-0.0874817
0.209999,-0.0398512
0.215833,-0.0238442
0.221666,-0.00783727
0.227499,-0.00409378
0.233333,-0.000350297
0.239166,-0.000186996
0.244999,-2.36946e-05
0.250832,-0.000236872
0.256666,-0.00045005
0.262499,-0.00047169
0.268332,-0.000493329
0.274166,-0.000474479
0.279999,-0.00045563
0.285832,-0.000451051
0.291666,-0.000446472
0.297499,-0.000428734
0.303332,-0.000410996
0.309166,-0.000384895
0.314999,-0.000358794
0.320832,-0.000337465
0.326666,-0.000316137
0.332499,-0.000296158
0.338332,-0.00027618
0.344165,-0.000256409
0.349999,-0.000236637
0.355832,-0.000217667
0.361665,-0.000198696
0.367499,-0.000181574
0.373332,-0.000164451
0.379165,-0.000149806
0.384999,-0.000135161
0.390832,-0.000122457
0.396665,-0.000109752
0.402499,-9.93822e-05
0.408332,-8.90127e-05
0.414165,-8.11641e-05
0.419999,-7.33155e-05
0.425832,-6.69712e-05
0.431665,-6.06268e-05
0.437498,-5.55818e-05
0.443332,-5.05368e-05
0.449165,-4.63943e-05
0.454998,-4.22518e-05
