t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0.0245,0.523671,-0.894475,0.404944,-0.39819,-0.0413875,-1.7843,4.71101,-4.13798,-78.646,-0.23859,-82.6417,0,0,0,140.328,-1.124,341.97,0,0,0,0,0,0,1.09575,-0.00614038,-0.392715,-658.005,869.759
0.025,0.523652,-0.895376,0.407317,-0.400274,-0.034973,-1.82102,4.7824,-4.19561,-78.7576,-0.235063,-81.6187,0,0,0,143.419,-1.12416,342.44,0,0,0,0,0,0,1.09555,-0.00645586,-0.40173,-657.186,870.001
0.0255,0.523636,-0.896296,0.409726,-0.402386,-0.0281592,-1.85757,4.85199,-4.25146,-78.8493,-0.23123,-80.6251,0,0,0,146.468,-1.12193,342.774,0,0,0,0,0,0,1.09535,-0.00677867,-0.410739,-656.216,870.244
0.026,0.523624,-0.897234,0.412169,-0.404525,-0.0209618,-1.89395,4.91983,-4.30558,-78.9222,-0.22709,-79.6605,0,0,0,149.475,-1.11724,342.984,0,0,0,0,0,0,1.09514,-0.00710863,-0.419742,-655.105,870.489
0.0265,0.523615,-0.89819,0.414645,-0.406691,-0.0133958,-1.93013,4.98594,-4.35801,-78.9774,-0.222661,-78.7239,0,0,0,152.437,-1.11017,343.08,0,0,0,0,0,0,1.09493,-0.00744557,-0.428738,-653.86,870.735
0.027,0.523611,-0.899164,0.417155,-0.408883,-0.00547482,-1.96613,5.05037,-4.4088,-79.0159,-0.217958,-77.8144,0,0,0,155.356,-1.10077,343.068,0,0,0,0,0,0,1.09471,-0.00778932,-0.437725,-652.491,870.983
0.0275,0.52361,-0.900156,0.419695,-0.4111,0.00278818,-2.00193,5.11314,-4.45798,-79.0388,-0.212996,-76.9312,0,0,0,158.23,-1.08908,342.958,0,0,0,0,0,0,1.09449,-0.00813974,-0.446703,-651.004,871.233
0.028,0.523614,-0.901166,0.422267,-0.41334,0.0113811,-2.03753,5.1743,-4.5056,-79.0468,-0.207788,-76.0734,0,0,0,161.06,-1.07516,342.757,0,0,0,0,0,0,1.09427,-0.00849666,-0.455672,-649.407,871.483
0.0285,0.523622,-0.902193,0.424869,-0.415605,0.0202928,-2.07293,5.23388,-4.55169,-79.0408,-0.202347,-75.2402,0,0,0,163.846,-1.05906,342.47,0,0,0,0,0,0,1.09404,-0.00885995,-0.46463,-647.708,871.735
0.029,0.523634,-0.903239,0.427501,-0.417892,0.0295125,-2.10813,5.2919,-4.59629,-79.0218,-0.196685,-74.4308,0,0,0,166.588,-1.04084,342.105,0,0,0,0,0,0,1.0938,-0.00922946,-0.473578,-645.912,871.989
0.0295,0.523651,-0.904302,0.430161,-0.420201,0.0390305,-2.14312,5.34841,-4.63943,-78.9903,-0.190813,-73.6444,0,0,0,169.286,-1.02055,341.668,0,0,0,0,0,0,1.09356,-0.00960506,-0.482514,-644.026,872.243
